entry_month,formation_month,PERMNO,Ticker,formation_ret,decile
2024-10-01,2024-09-01,12431,TT,0.3015007560118985,10.0
2024-10-01,2024-09-01,14593,AAPL,0.36217939658407045,10.0
2024-10-01,2024-09-01,92602,PM,0.3572721210413284,10.0
2024-10-01,2024-09-01,66093,T,0.28933855009482623,10.0
2024-10-01,2024-09-01,18411,SO,0.27892266656874704,10.0
2024-10-01,2024-09-01,93436,TSLA,0.4883103674636633,10.0
2024-10-01,2024-09-01,22623,CEG,0.41155196904574504,10.0
2024-10-01,2024-09-01,20391,TPL,0.5557150597025351,10.0
2024-10-01,2024-09-01,16655,CVNA,0.9805444211374772,10.0
2024-10-01,2024-09-01,57904,AFL,0.3157682803847359,10.0
2024-10-01,2024-09-01,92050,PODD,0.3579343488947828,10.0
2024-10-01,2024-09-01,90455,MPWR,0.36866162680134457,10.0
2024-10-01,2024-09-01,24878,GEV,0.8212877131496505,10.0
2024-10-01,2024-09-01,21207,NEM,0.5077727562426033,10.0
2024-10-01,2024-09-01,82486,ERIE,0.35339663052570514,10.0
2024-10-01,2024-09-01,52978,HAS,0.307767091151987,10.0
2024-10-01,2024-09-01,85459,CHRW,0.46871216091318396,10.0
2024-10-01,2024-09-01,18420,FOXA,0.3625676550070912,10.0
2024-10-01,2024-09-01,90199,CBRE,0.2801314762037756,10.0
2024-10-01,2024-09-01,64653,PSA,0.2787047833307025,10.0
2024-10-01,2024-09-01,11990,KKR,0.3024917801064343,10.0
2024-10-01,2024-09-01,22293,GLW,0.38937067261307995,10.0
2024-10-01,2024-09-01,21178,LMT,0.3009558090168252,10.0
2024-10-01,2024-09-01,79452,CPT,0.27780237632919075,10.0
2024-10-01,2024-09-01,65947,WELL,0.38656200082410946,10.0
2024-10-01,2024-09-01,24643,HWM,0.4671516898605042,10.0
2024-10-01,2024-09-01,20894,APP,0.8860153519533809,10.0
2024-10-01,2024-09-01,90071,NRG,0.3608932703614895,10.0
2024-10-01,2024-09-01,12060,GE,0.35671822293785743,10.0
